ein,city,has_subseccd,have_extracts,have_filings,have_pdfs,name,ntee_code,raw_ntee_code,score,state,strein,sub_name,subseccd
813311094,ASTORIA,1.0,,,,BARE OPERA,A6A,A6A,8022.336,NY,81-3311094,BARE OPERA,3.0
263016871,LEXINGTON,1.0,,,,BLUEGRASS OPERA,A6A,A6A,8022.336,KY,26-3016871,BLUEGRASS OPERA,3.0
833139772,SUNLAND,1.0,,,,MISSION OPERA,A6A,A6A,8022.336,CA,83-3139772,MISSION OPERA,3.0
462541609,BEND,1.0,,,,OPERA BEND,A99,A99,8022.336,Oregon,46-2541609,OPERA BEND,3.0
840850527,ENGLEWOOD,1.0,,,,OPERA COLORADO,A6A0,A6A0,8022.336,CO,84-0850527,OPERA COLORADO,3.0
464332937,SAN JOSE,1.0,,,,OPERA CULTURA,A6A,A6A,8022.336,CA,46-4332937,OPERA CULTURA,3.0
453361602,WEST CHESTER,1.0,,,,OPERA LIBERA,A6A,A6A,8022.336,PA,45-3361602,OPERA LIBERA,3.0
222519789,LEBANON,1.0,,,,OPERA NORTH,A6A0,A6A0,8022.336,NH,22-2519789,OPERA NORTH,3.0
800432320,FRENCHTOWN,1.0,,,,OPERA PROJECT,A6A,A6A,8022.336,NJ,80-0432320,OPERA PROJECT,3.0
824079263,CLOVERDALE,1.0,,,,OPERA SONOMA,A6A,A6A,8022.336,CA,82-4079263,OPERA SONOMA,3.0
237314812,ALBUQUERQUE,1.0,,,,OPERA SOUTHWEST,A6A0,A6A0,8022.336,NM,23-7314812,OPERA SOUTHWEST,3.0
850391704,ALBUQUERQUE,1.0,,,,OPERA UNLIMITED,A60M,A60M,8022.336,NM,85-0391704,OPERA UNLIMITED,3.0
821536854,SANTA FE,1.0,,,,OPERA WEST,A6A,A6A,8022.336,NM,82-1536854,OPERA WEST,3.0
824602315,CASPER,1.0,,,,OPERA WYOMING,A6A,A6A,8022.336,WY,82-4602315,OPERA WYOMING,3.0
910760426,SEATTLE,1.0,,,,SEATTLE OPERA,A6A0,A6A0,8022.336,WA,91-0760426,SEATTLE OPERA,3.0
752253647,AMARILLO,1.0,,,,AMARILLO OPERA,A6A0,A6A0,7984.342,TX,75-2253647,AMARILLO OPERA,3.0
364454720,ELGIN,1.0,True,True,True,ELGIN OPERA,A6A,A6A,7984.342,IL,36-4454720,ELGIN OPERA,3.0
463486730,SHERMAN OAKS,1.0,,,,INLAND OPERA,A6A,A6A,7984.342,CA,46-3486730,INLAND OPERA,3.0
814363604,SAN FRANCISCO,1.0,,,,LITTLE OPERA,A65,A65,7984.342,CA,81-4363604,LITTLE OPERA,3.0
260006536,SCRANTON,1.0,,,,MOSTLY OPERA,A6A,A6A,7984.342,PA,26-0006536,MOSTLY OPERA,3.0
953854105,RANCHO MIRAGE,1.0,,,,OPERA BUFFS,A190,A190,7984.342,CA,95-3854105,OPERA BUFFS,3.0
566019660,CHARLOTTE,1.0,,,,OPERA CAROLINA,A6A0,A6A0,7984.342,NC,56-6019660,OPERA CAROLINA,3.0
432032363,JACKSONVILLE,1.0,,,,OPERA JACKSONVILLE,A60,A60,7984.342,FL,43-2032363,OPERA JACKSONVILLE,3.0
231504706,PHILADELPHIA,1.0,,,,OPERA PHILADELPHIA,A6A0,A6A0,7984.342,PA,23-1504706,OPERA PHILADELPHIA,3.0
133819493,NEW YORK,1.0,,,,OPERA USA,A6A,A6A,7984.342,NY,13-3819493,OPERA USA,3.0
522175213,ESSEX,1.0,True,True,True,OPERA VIVENTE,A6A,A6A,7984.342,MD,52-2175213,OPERA VIVENTE,3.0
20484003,KEENE,1.0,,,,RAYLYNMOR OPERA,A6A0,A6A0,7984.342,NH,02-0484003,RAYLYNMOR OPERA,3.0
462223000,BOULDER,1.0,,,,BOULDER OPERA,A6A,A6A,7966.533,CO,46-2223000,BOULDER OPERA,3.0
930679959,EUGENE,1.0,,,,EUGENE OPERA,A6A0,A6A0,7966.533,Oregon,93-0679959,EUGENE OPERA,3.0
475311222,JEFFERSON CTY,1.0,,,,MOSTLY OPERA,A60,A60,7966.533,MO,47-5311222,MOSTLY OPERA,3.0
471255941,SPOKANE,1.0,,,,NORTHWEST OPERA,B99,B99,7966.533,WA,47-1255941,NORTHWEST OPERA,3.0
237207572,BIRMINGHAM,1.0,,,,OPERA BIRMINGHAM,A6A0,A6A0,7966.533,AL,23-7207572,OPERA BIRMINGHAM,3.0
454913985,WEAVERVILLE,1.0,,,,OPERA CREATIONS,A6A,A6A,7966.533,NC,45-4913985,OPERA CREATIONS,3.0
203975320,FAIRBANKS,1.0,,,,OPERA FAIRBANKS,A65,A65,7966.533,AK,20-3975320,OPERA FAIRBANKS,3.0
10496860,PORTLAND,1.0,,,,OPERA MAINE,A6A0,A6A0,7966.533,ME,01-0496860,OPERA MAINE,3.0
541618192,ARLINGTON,1.0,,,,OPERA NOVA,T20Z,T20Z,7966.533,VA,54-1618192,OPERA NOVA,3.0
952224201,PASADENA,1.0,,,,OPERA PACIFIC,A6A0,A6A0,7966.533,CA,95-2224201,OPERA PACIFIC,3.0
943068290,OAKLAND,1.0,True,True,True,OPERA PICCOLA,A6A,A6A,7966.533,CA,94-3068290,OPERA PICCOLA,3.0
726021455,SHREVEPORT,1.0,,,,SHREVEPORT OPERA,A6A0,A6A0,7966.533,LA,72-6021455,SHREVEPORT OPERA,3.0
200156714,BELLINGHAM,1.0,,,,SKAGIT OPERA,A6A,A6A,7966.533,WA,20-0156714,SKAGIT OPERA,3.0
824935291,WOODSIDE,1.0,,,,JUBILEE OPERA,A6A,A6A,7938.0967,NY,82-4935291,JUBILEE OPERA,3.0
952503791,LOS ANGELES,1.0,,,,OPERA ASSOCIATES,A6A,,7938.0967,CA,95-2503791,OPERA ASSOCIATES,3.0
954512214,LOS ANGELES,1.0,,,,OPERA CALIFORNIA,A6A0,A6A0,7938.0967,CA,95-4512214,OPERA CALIFORNIA,3.0
463142361,SAN DIEGO,1.0,,,,OPERA NEO,A6A,A6A,7938.0967,CA,46-3142361,OPERA NEO,3.0
50453691,NEW LONDON,1.0,,,,OPERA PROVIDENCE,A99Z,A99Z,7938.0967,CT,05-0453691,OPERA PROVIDENCE,3.0
510213334,ROANOKE,1.0,,,,OPERA ROANOKE,A6A0,A6A0,7938.0967,VA,51-0213334,OPERA ROANOKE,3.0
571129329,COLUMBIA,1.0,,,,PALMETTO OPERA,A65,A65,7938.0967,SC,57-1129329,PALMETTO OPERA,3.0
411375724,SAINT PAUL,1.0,,,,SKYLARK OPERA,A6A0,A6A0,7938.0967,MN,41-1375724,SKYLARK OPERA,3.0
680454224,CONCORD,1.0,,,,SOLO OPERA,A6A,A6A,7938.0967,CA,68-0454224,SOLO OPERA,3.0
263649993,VASHON,1.0,,,,VASHON OPERA,A6A,A6A,7938.0967,WA,26-3649993,VASHON OPERA,3.0
756004746,DALLAS,1.0,,,,DALLAS OPERA,A6A0,A6A0,7915.6733,TX,75-6004746,DALLAS OPERA,3.0
522001426,WASHINGTON,1.0,,,,OPERA LAFAYETTE,A680,A680,7915.6733,DC,52-2001426,OPERA LAFAYETTE,3.0
471571156,KAHULUI,1.0,,,,OPERA MAUI,A6A,A6A,7915.6733,HI,47-1571156,OPERA MAUI,3.0
721584393,SAN FRANCISCO,1.0,,,,OPERA PARALLELE,A65,A65,7915.6733,CA,72-1584393,OPERA PARALLELE,3.0
222270100,SOUTH ORANGE,1.0,,,,SUBURAN OPERA THEATRE STATE REPERTORY OPERA SRO,A6A,,7385.25,NJ,22-2270100,SUBURAN OPERA THEATRE STATE REPERTORY OPERA SRO,3.0
270940187,NEW YORK,1.0,,,,AMORE OPERA INC,A6A,A6A,7185.1997,NY,27-0940187,AMORE OPERA INC,3.0
920148120,ANCHORAGE,1.0,,,,ANCHORAGE OPERA GUILD,A110,A110,7185.1997,AK,92-0148120,ANCHORAGE OPERA GUILD,3.0
237169261,PHOENIX,1.0,,,,ARIZONA OPERA COMPANY,A6A0,A6A0,7185.1997,AZ,23-7169261,ARIZONA OPERA COMPANY,3.0
832435880,JAMIACA,1.0,,,,BIG APPLE OPERA,A6A,A6A,7185.1997,NY,83-2435880,BIG APPLE OPERA,3.0
954868027,S PASADENA,1.0,,,,CELESTIAL OPERA COMPANY,A60,A60,7185.1997,CA,95-4868027,CELESTIAL OPERA COMPANY,3.0
262584694,ISLE OF PALMS,1.0,,,,CHARLESTON CHAMBER OPERA,A6A,A6A,7185.1997,SC,26-2584694,CHARLESTON CHAMBER OPERA,3.0
341816013,CLEVELAND,1.0,,,,CLEVELAND OPERA INC,A6A0,A6A0,7185.1997,OH,34-1816013,CLEVELAND OPERA INC,3.0
811599946,WESTMINSTER,1.0,,,,DENVER OPERA COLLECTIVE,A6A,A6A,7185.1997,CO,81-1599946,DENVER OPERA COLLECTIVE,3.0
